concentration,drug_name,fraction,logfc,pvalue,statistic,timepoint,bonferroni_pvalue
1.0,Vorinostat,cytosolic,0.360097521346,0.0,45344345.5,72h,0.0
0.031623,Etoposide,nuclear,0.890629804002,0.0,62449085.5,72h,0.0
0.01,Neratinib,nuclear,0.90371256444,0.0,70838661.0,72h,0.0
0.0031623,Paclitaxel,nuclear,2.75262915619,3.35255706026e-257,739147.0,72h,1.12645917225e-254
0.031623,Alpelisib,nuclear,0.897935608718,0.0,76151133.5,72h,0.0
3.1623,Vorinostat,nuclear,1.7398561406,1.92021609804e-278,4049265.5,72h,6.45192608942e-276
0.031623,Trametinib,nuclear,-1.63872372939,0.0,28217728.5,72h,0.0
10.0,Dasatinib,nuclear,-1.62966438563,1.65486541033e-191,5276185.5,72h,5.56034777869e-189
0.0031623,Trametinib,nuclear,2.04011153991,0.0,3134505.5,72h,0.0
1.0,Palbociclib,nuclear,0.953706487253,0.0,37758647.5,72h,0.0
0.1,Dasatinib,nuclear,1.9485666702,0.0,8619193.5,72h,0.0
10.0,Vorinostat,nuclear,-1.68117838509,0.0,28017897.5,72h,0.0
1.0,Neratinib,nuclear,2.38359203167,8.02399501252e-211,2764493.0,72h,2.69606232421e-208
10.0,Etoposide,nuclear,-1.60894591228,0.0,22245864.5,72h,0.0
3.1623,Etoposide,nuclear,1.88333801233,1.34748974449e-264,1878011.5,72h,4.52756554148e-262
1.0,Etoposide,nuclear,1.58156415781,0.0,4130738.5,72h,0.0
0.001,Paclitaxel,nuclear,0.907842995722,0.0,53333180.5,72h,0.0
10.0,Alpelisib,nuclear,1.16273189007,0.0,11413044.5,72h,0.0
0.1,Palbociclib,nuclear,0.695264663768,0.0,90606578.5,72h,0.0
0.1,Trametinib,nuclear,2.10851220489,0.0,1711775.0,72h,0.0
0.0003,Trametinib,nuclear,0.512174509269,0.0,145003369.0,72h,0.0
0.001,Neratinib,nuclear,0.446317786688,0.0,193549733.0,72h,0.0
0.031623,Neratinib,nuclear,0.449773134433,0.0,106383433.5,72h,0.0
0.0001,Paclitaxel,nuclear,0.425988934991,0.0,189868119.5,72h,0.0
0.001,Trametinib,nuclear,0.486629291543,0.0,114752665.0,72h,0.0
0.01,Trametinib,nuclear,1.60226043083,0.0,5809582.5,72h,0.0
0.031623,Paclitaxel,nuclear,-1.62620991981,1.60091610167e-271,7444352.5,72h,5.37907810162e-269
1.0,Alpelisib,nuclear,0.432506797895,0.0,144060186.5,72h,0.0
0.1,Neratinib,nuclear,1.24027841961,0.0,18106786.5,72h,0.0
0.031623,Dasatinib,nuclear,0.805008122068,0.0,68206491.5,72h,0.0
0.01,Vorinostat,nuclear,0.246152568915,0.0,233155345.5,72h,0.0
3.1623,Alpelisib,nuclear,0.241492702662,8.24313164023e-192,144080657.5,72h,2.76969223112e-189
0.31623,Neratinib,nuclear,1.74104458752,0.0,2987946.5,72h,0.0
0.00032,Paclitaxel,nuclear,0.166484585534,3.45806053972e-199,296970731.5,72h,1.16190834134e-196
0.0032,Neratinib,nuclear,0.100252751344,4.20731221295e-78,339038849.5,72h,1.41365690355e-75
0.31623,Dasatinib,nuclear,2.21176540689,0.0,2120455.5,72h,0.0
0.31623,Trametinib,nuclear,1.29504335785,0.0,9125619.0,72h,0.0
0.01,Alpelisib,nuclear,0.164206728575,4.42634985702e-178,309466818.0,72h,1.48725355196e-175
0.031623,Palbociclib,nuclear,0.109783082849,3.13843093731e-98,324397199.5,72h,1.05451279494e-95
3.1623,Palbociclib,nuclear,0.461769138665,0.0,57145852.0,72h,0.0
3.1623,Dasatinib,nuclear,-1.57065857291,8.99067950014e-44,8998131.5,72h,3.02086831205e-41
0.31623,Palbociclib,nuclear,0.0625255175726,6.44121451175e-19,193875726.0,72h,2.16424807595e-16
0.31623,Vorinostat,nuclear,-0.161589115107,2.36959071599e-143,180280699.5,72h,7.96182480574e-141
0.31623,Etoposide,nuclear,0.157247904143,1.10769115119e-39,70618737.0,72h,3.72184226799e-37
10.0,Palbociclib,nuclear,0.376561976122,3.46006215722e-144,41881855.5,72h,1.16258088483e-141
0.031623,Vorinostat,nuclear,-0.0458183008452,4.9698207325e-29,318310681.0,72h,1.66985976612e-26
0.31623,Alpelisib,nuclear,0.157621139452,4.61161410575e-80,222783420.5,72h,1.54950233953e-77
1.0,Dasatinib,nuclear,2.66949971329,0.0,4210562.0,72h,0.0
0.1,Vorinostat,nuclear,-0.0331777387718,4.00932251334e-11,269595677.0,72h,1.34713236448e-08
0.01,Dasatinib,nuclear,0.0945148346801,6.89446965577e-51,194428047.0,72h,2.31654180434e-48
0.1,Alpelisib,nuclear,-0.119306279356,5.96297153345e-97,228574904.0,72h,2.00355843524e-94
0.01,Palbociclib,nuclear,-0.190075609254,1.6191545747e-269,212815331.0,72h,5.44035937099e-267
0.01,Etoposide,nuclear,-0.0941150379675,3.38792513301e-59,260059530.0,72h,1.13834284469e-56
0.1,Paclitaxel,nuclear,-1.64392656315,0.0,4946843.5,72h,0.0
0.1,Etoposide,nuclear,0.107368733447,2.06823718712e-29,162361970.5,72h,6.94927694874e-27
0.01,Paclitaxel,nuclear,0.698388790161,0.0448033334605,14107010.5,72h,1.0
1.0,Vorinostat,nuclear,0.259803627892,5.43262320879e-138,61858952.0,72h,1.82536139815e-135
